Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],storage,deficit,overflow
2.215,1.776,1.776,22.061,0.000,0.000
2.191,1.776,1.776,22.476,0.000,0.000
5.919,1.268,2.390,26.006,0.000,1.122
1.603,1.015,1.603,26.006,0.000,0.588
10.671,0.761,10.671,26.006,0.000,9.910
4.431,1.776,4.431,26.006,0.000,2.655
1.213,1.776,1.776,25.443,0.000,0.000
1.094,2.537,2.537,24.000,0.000,0.000
-0.694,3.044,3.044,20.262,0.000,0.000
1.826,3.552,3.552,18.536,0.000,0.000
1.236,3.552,3.552,16.220,0.000,0.000
0.143,2.537,2.537,13.826,0.000,0.000
3.644,1.776,1.776,15.694,0.000,0.000
2.840,1.776,1.776,16.758,0.000,0.000
1.068,1.268,1.268,16.558,0.000,0.000
1.820,1.015,1.015,17.364,0.000,0.000
4.077,0.761,0.761,20.680,0.000,0.000
10.551,1.776,5.225,26.006,0.000,3.449
3.297,1.776,3.297,26.006,0.000,1.521
3.646,2.537,3.646,26.006,0.000,1.109
4.111,3.044,4.111,26.006,0.000,1.067
1.003,3.552,3.552,23.457,0.000,0.000
0.458,3.552,3.552,20.363,0.000,0.000
0.327,2.537,2.537,18.153,0.000,0.000
4.537,1.776,1.776,20.915,0.000,0.000
4.876,1.776,1.776,24.015,0.000,0.000
0.964,1.268,1.268,23.711,0.000,0.000
0.989,1.015,1.015,23.684,0.000,0.000
-0.515,0.761,0.761,22.409,0.000,0.000
1.235,1.776,1.776,21.867,0.000,0.000
1.269,1.776,1.776,21.360,0.000,0.000
2.170,2.537,2.537,20.993,0.000,0.000
1.828,3.044,3.044,19.777,0.000,0.000
3.387,3.552,3.552,19.612,0.000,0.000
0.760,3.552,3.552,16.820,0.000,0.000
1.470,2.537,2.537,15.752,0.000,0.000
1.793,1.776,1.776,15.770,0.000,0.000
1.433,1.776,1.776,15.427,0.000,0.000
2.266,1.268,1.268,16.425,0.000,0.000
1.536,1.015,1.015,16.946,0.000,0.000
5.089,0.761,0.761,21.274,0.000,0.000
1.580,1.776,1.776,21.078,0.000,0.000
4.036,1.776,1.776,23.338,0.000,0.000
2.102,2.537,2.537,22.903,0.000,0.000
4.192,3.044,3.044,24.051,0.000,0.000
2.065,3.552,3.552,22.563,0.000,0.000
1.025,3.552,3.552,20.036,0.000,0.000
1.322,2.537,2.537,18.821,0.000,0.000
4.064,1.776,1.776,21.109,0.000,0.000
3.588,1.776,1.776,22.921,0.000,0.000
5.349,1.268,2.264,26.006,0.000,0.996
1.705,1.015,1.705,26.006,0.000,0.690
1.639,0.761,1.639,26.006,0.000,0.878
10.371,1.776,10.371,26.006,0.000,8.595
5.951,1.776,5.951,26.006,0.000,4.175
3.467,2.537,3.467,26.006,0.000,0.930
3.352,3.044,3.352,26.006,0.000,0.308
1.868,3.552,3.552,24.322,0.000,0.000
2.000,3.552,3.552,22.771,0.000,0.000
1.024,2.537,2.537,21.258,0.000,0.000
5.270,1.776,1.776,24.752,0.000,0.000
3.494,1.776,2.239,26.006,0.000,0.463
0.125,1.268,1.268,24.863,0.000,0.000
4.200,1.015,3.057,26.006,0.000,2.042
2.882,0.761,2.882,26.006,0.000,2.121
2.121,1.776,2.121,26.006,0.000,0.345
0.196,1.776,1.776,24.426,0.000,0.000
2.334,2.537,2.537,24.223,0.000,0.000
7.094,3.044,5.311,26.006,0.000,2.267
1.651,3.552,3.552,24.105,0.000,0.000
0.126,3.552,3.552,20.679,0.000,0.000
0.547,2.537,2.537,18.689,0.000,0.000
3.592,1.776,1.776,20.504,0.000,0.000
2.832,1.776,1.776,21.560,0.000,0.000
5.307,1.268,1.268,25.600,0.000,0.000
5.185,1.015,4.779,26.006,0.000,3.764
4.922,0.761,4.922,26.006,0.000,4.161
5.425,1.776,5.425,26.006,0.000,3.649
6.239,1.776,6.239,26.006,0.000,4.463
1.297,2.537,2.537,24.766,0.000,0.000
-0.602,3.044,3.044,21.119,0.000,0.000
0.224,3.552,3.552,17.791,0.000,0.000
1.691,3.552,3.552,15.930,0.000,0.000
2.849,2.537,2.537,16.241,0.000,0.000
1.305,1.776,1.776,15.770,0.000,0.000
2.637,1.776,1.776,16.632,0.000,0.000
2.335,1.268,1.268,17.699,0.000,0.000
0.292,1.015,1.015,16.976,0.000,0.000
3.063,0.761,0.761,19.277,0.000,0.000
11.997,1.776,5.268,26.006,0.000,3.492
9.986,1.776,9.986,26.006,0.000,8.210
3.181,2.537,3.181,26.006,0.000,0.644
7.212,3.044,7.212,26.006,0.000,4.168
2.320,3.552,3.552,24.774,0.000,0.000
2.875,3.552,3.552,24.098,0.000,0.000
1.586,2.537,2.537,23.147,0.000,0.000
2.806,1.776,1.776,24.177,0.000,0.000
1.797,1.776,1.776,24.198,0.000,0.000
5.312,1.268,3.504,26.006,0.000,2.236
2.927,1.015,2.927,26.006,0.000,1.912
4.757,0.761,4.757,26.006,0.000,3.996
7.877,1.776,7.877,26.006,0.000,6.101
3.168,1.776,3.168,26.006,0.000,1.392
1.376,2.537,2.537,24.845,0.000,0.000
1.110,3.044,3.044,22.911,0.000,0.000
-0.713,3.552,3.552,18.647,0.000,0.000
1.309,3.552,3.552,16.404,0.000,0.000
2.449,2.537,2.537,16.316,0.000,0.000
2.837,1.776,1.776,17.377,0.000,0.000
6.459,1.776,1.776,22.060,0.000,0.000
6.580,1.268,2.634,26.006,0.000,1.366
4.929,1.015,4.929,26.006,0.000,3.914
9.403,0.761,9.403,26.006,0.000,8.642
4.049,1.776,4.049,26.006,0.000,2.273
1.921,1.776,1.921,26.006,0.000,0.145
1.910,2.537,2.537,25.379,0.000,0.000
1.346,3.044,3.044,23.681,0.000,0.000
2.939,3.552,3.552,23.068,0.000,0.000
2.112,3.552,3.552,21.627,0.000,0.000
2.402,2.537,2.537,21.492,0.000,0.000
