Monat,Durchfluss_m3s,Datum,trendber,trend,saisonfigur_mean,saisonfigur_std,saisonber,normiert,autokorr_saisonfigur,autokorr,zufall
07/1969,0.756,1969-07-01,0.72958,0.02642,0.86582,0.66268,-0.10983,-0.16573,0.11956,-0.01981,-0.14591
08/1969,0.816,1969-08-01,0.78979,0.02621,0.6943,0.42636,0.1217,0.28544,0.19382,0.05532,0.23012
09/1969,1.105,1969-09-01,1.07901,0.02599,0.7096,0.52468,0.3954,0.7536,0.54189,0.40836,0.34523
10/1969,0.765,1969-10-01,0.73922,0.02578,0.81383,0.66743,-0.04883,-0.07315,-0.0622,0.00455,-0.0777
11/1969,0.433,1969-11-01,0.40743,0.02557,0.95687,0.73276,-0.52387,-0.71493,0.44651,-0.31923,-0.39571
12/1969,0.354,1969-12-01,0.32865,0.02535,1.42378,1.20142,-1.06978,-0.89043,0.38281,-0.34087,-0.54956
01/1970,0.237,1970-01-01,0.21186,0.02514,1.32562,0.92795,-1.08862,-1.17315,0.25444,-0.2985,-0.87465
02/1970,0.497,1970-02-01,0.47208,0.02492,1.09023,0.71671,-0.59323,-0.8277,0.25318,-0.20956,-0.61815
03/1970,1.338,1970-03-01,1.31329,0.02471,1.8362,1.01561,-0.4982,-0.49054,0.00952,-0.00467,-0.48587
04/1970,5.107,1970-04-01,5.0825,0.0245,2.39665,1.45556,2.71035,1.86207,0.59307,1.10433,0.75774
05/1970,3.964,1970-05-01,3.93972,0.02428,1.25822,0.80009,2.70578,3.38185,0.37076,1.25386,2.12799
06/1970,1.528,1970-06-01,1.50393,0.02407,0.87288,0.52115,0.65512,1.25707,0.06897,0.08671,1.17037
07/1970,0.608,1970-07-01,0.58415,0.02385,0.86582,0.66268,-0.25783,-0.38906,0.11956,-0.04651,-0.34255
08/1970,1.55,1970-08-01,1.52636,0.02364,0.6943,0.42636,0.8557,2.00699,0.19382,0.38899,1.618
09/1970,0.517,1970-09-01,0.49357,0.02343,0.7096,0.52468,-0.1926,-0.36708,0.54189,-0.19891,-0.16816
10/1970,1.183,1970-10-01,1.15979,0.02321,0.81383,0.66743,0.36917,0.55313,-0.0622,-0.0344,0.58753
11/1970,2.867,1970-11-01,2.844,0.023,0.95687,0.73276,1.91013,2.60676,0.44651,1.16394,1.44281
12/1970,1.813,1970-12-01,1.79021,0.02279,1.42378,1.20142,0.38922,0.32397,0.38281,0.12402,0.19995
01/1971,0.796,1971-01-01,0.77343,0.02257,1.32562,0.92795,-0.52962,-0.57075,0.25444,-0.14522,-0.42552
02/1971,1.057,1971-02-01,1.03464,0.02236,1.09023,0.71671,-0.03323,-0.04636,0.25318,-0.01174,-0.03462
03/1971,1.685,1971-03-01,1.66286,0.02214,1.8362,1.01561,-0.1512,-0.14888,0.00952,-0.00142,-0.14746
04/1971,2.653,1971-04-01,2.63107,0.02193,2.39665,1.45556,0.25635,0.17612,0.59307,0.10445,0.07167
05/1971,1.189,1971-05-01,1.16728,0.02172,1.25822,0.80009,-0.06922,-0.08652,0.37076,-0.03208,-0.05444
06/1971,1.965,1971-06-01,1.9435,0.0215,0.87288,0.52115,1.09212,2.0956,0.06897,0.14454,1.95106
07/1971,0.798,1971-07-01,0.77671,0.02129,0.86582,0.66268,-0.06783,-0.10235,0.11956,-0.01224,-0.09011
08/1971,0.413,1971-08-01,0.39193,0.02107,0.6943,0.42636,-0.2813,-0.65977,0.19382,-0.12788,-0.5319
09/1971,0.338,1971-09-01,0.31714,0.02086,0.7096,0.52468,-0.3716,-0.70824,0.54189,-0.38378,-0.32445
10/1971,0.305,1971-10-01,0.28435,0.02065,0.81383,0.66743,-0.50883,-0.76236,-0.0622,0.04742,-0.80978
11/1971,0.301,1971-11-01,0.28057,0.02043,0.95687,0.73276,-0.65587,-0.89508,0.44651,-0.39966,-0.49542
12/1971,1.795,1971-12-01,1.77478,0.02022,1.42378,1.20142,0.37122,0.30899,0.38281,0.11829,0.1907
01/1972,0.716,1972-01-01,0.696,0.02,1.32562,0.92795,-0.60963,-0.65696,0.25444,-0.16716,-0.4898
02/1972,0.389,1972-02-01,0.36921,0.01979,1.09023,0.71671,-0.70123,-0.97839,0.25318,-0.24771,-0.73069
03/1972,0.358,1972-03-01,0.33842,0.01958,1.8362,1.01561,-1.4782,-1.45548,0.00952,-0.01386,-1.44162
04/1972,1.417,1972-04-01,1.39764,0.01936,2.39665,1.45556,-0.97965,-0.67304,0.59307,-0.39916,-0.27388
05/1972,1.123,1972-05-01,1.10385,0.01915,1.25822,0.80009,-0.13522,-0.16901,0.37076,-0.06266,-0.10635
